ID,Address,Job Number,Job Name,Latitude,Longitude,Radius,Tags,Notes,Type
24315846,"36.970908,-120.122385",KBRSF0,RANCHO SANTA FE,36.970908,-120.122385,250,"Central Valley,Billy Davis",KBRSF0 RANCHO SANTA FE,Normal Geofence
24333859,"Rancho Cordova Pkwy, Rancho Cordova, CA 95742, USA",PUEC00,ECHELON V5,38.543839,-121.224088,250,"Sacramento,Hector M Michel",PUEC00 ECHELON V5,Normal Geofence
24529227,"Riverfront Dr, Lathrop, CA 95330, USA",NHRIW0,RIVER ISLAND WAYPOINT,37.806235,-121.330271,250,Sacramento,NHRIW0 RIVER ISLAND WAYPOINT,Normal Geofence
24564871,"1628 Summerwind Dr, Fernley, NV 89408, USA",KDPR00,PONDEROSA,39.585273,-119.211235,250,"Reno,Christopher D Bullard",KDPR00 PONDEROSA,Normal Geofence
24564898,"7100 Rancharrah Parkway, Reno, NV 89511, USA",RWVD00,THE VILLAS VILLAGE D,39.468376,-119.792484,250,"Reno,Christopher D Bullard",RWVD00 THE VILLAS VILLAGE D,Normal Geofence
24573774,"2253 Owens Ct, Los Banos, CA 93635, USA",DRSPII,SOUTHPOINTE II,37.073355,-120.819479,250,Central Valley,DRSPII SOUTHPOINTE II,Normal Geofence
24639629,"178 Mark Jeffrey Ln, Reno, NV 89503, USA",DWTRG0,TRUCKEE RIVER GREEN,39.519847,-119.843111,250,"Reno,Joaquin Gonzalez-Cruz",DWTRG0 TRUCKEE RIVER GREEN,Normal Geofence
24650692,"Grangeville Blvd & Centennial Dr, Hanford, CA 93230, USA",WSEG00,ELLA GARDENS,36.342678,-119.681899,250,Central Valley,WSEG00 ELLA GARDENS,Normal Geofence
24651778,"Pioneer Union Elementary, CA, USA",SJBV30,BELLA VISTA 3,36.354115,-119.707853,250,"Central Valley,Billy Davis",SJBV30 BELLA VISTA 3,Normal Geofence
24651779,"Pioneer Union Elementary, CA, USA",SJBV30,BELLA VISTA 3,36.354115,-119.707853,250,"Central Valley,Billy Davis",SJBV30 BELLA VISTA 3,Normal Geofence
24737597,"Redding, CA, USA",DRRIO0,RIO,40.555708,-122.380552,250,"Sacramento,Ramon Camarena",DRRIO0 RIO,Normal Geofence
24743551,"Blue Oaks Blvd & Westbrook Blvd, Westpark, CA 95747",MHWC20,WINDING CREEK II (ROAM),38.79557,-121.387184,250,"Sacramento,Jose Hermosillo",MHWC20 WINDING CREEK II (ROAM),Normal Geofence
24743572,"Melwood Ln, Granite Bay, CA 95746, USA",PRSL00,PREMIER SOLEIL,38.743846,-121.167182,250,"Sacramento,Jose Hermosillo",PRSL00 PREMIER SOLEIL,Normal Geofence
24795670,"517 Brinkby Ave, Reno, NV 89509, USA",ACLV00,LAKEVIEW AMENITIES,39.496584,-119.804319,250,"Reno,Joaquin Gonzalez-Cruz",ACLV00 LAKEVIEW AMENITIES,Normal Geofence
24795690,"Tully Rd & Bangs Ave, Modesto, CA 95356, USA",UCIC00,ICON,37.7037,-121.022184,250,"Central Valley,Andres Rodriguez",UCIC00 ICON,Normal Geofence
24797812,"Boulder Falls Dr, Sparks, NV 89436, USA",TBMD20,MERIDA II,39.629975,-119.699289,250,"Reno,Wesley Wilson",TBMD20 MERIDA II,Normal Geofence
24858233,"Hiett Ave & County Line Rd, California 93215, USA",SJPR00,PHEASANT COURT,35.78971,-119.270885,250,"Central Valley,Julio Garcia",SJPR00 PHEASANT COURT,Normal Geofence
24858270,"Hiett Ave & County Line Rd, California 93215, USA",SJQR00,QUAIL RUN,35.790406,-119.267666,250,"Central Valley,Julio Garcia",SJQR00 QUAIL RUN,Normal Geofence
24858285,"Douglas Rd & Rancho Cordova Pkwy, Rancho Cordova, CA 95742, USA",PRME70,ECHELON V5,38.559322,-121.224143,250,"Sacramento,Hector M Michel",PRME70 ECHELON V5,Normal Geofence
24925289,"Central Ave & California St, Riverbank, CA 95367, USA",DRBH00,BRUIN HEIGHTS,37.72905,-120.917523,250,"Central Valley,Andres Rodriguez",DRBH00 BRUIN HEIGHTS,Normal Geofence
25178888,"https://www.google.com/maps/place/Kinglet+Dr+%26+Fuggles+Dr,+Spanish+Springs,+NV+89441/@39.6644328,-119.7311413,16z/data=!4m13!1m7!3m6!1s0x809936fd30856607:0xa75501236f65029!2sKinglet+Dr+%26+Fuggles+Dr,+Spanish+Springs,+NV+89441!3b1!8m2!3d39.6644535!4d-119.7316778!3m4!1s0x809936fd30856607:0xa75501236f65029!8m2!3d39.6644535!4d-119.7316778",BCMD00,MERIDIAN,39.663676,-119.724979,250,"Reno,Wesley Wilson",BCMD00 MERIDIAN,Normal Geofence
25178911,"https://www.google.com/maps/place/Hudson+Dr,+Reno,+NV+89523/@39.5166369,-119.9800871,17z/data=!4m13!1m7!3m6!1s0x80995b2b147188d3:0xbb0eb7a85b8b6b9b!2sHudson+Dr,+Reno,+NV+89523!3b1!8m2!3d39.5166369!4d-119.9778984!3m4!1s0x80995b2b147188d3:0xbb0eb7a85b8b6b9b!8m2!3d39.5166369!4d-119.9778984",BCQTOO,QUEST@MERIDIAN,39.516637,-119.977898,250,"Reno,Wesley Wilson",BCQTOO QUEST@MERIDIAN,Normal Geofence
